,total_rainfall,mean_temperature,minimum_temperature,maximum_temperature,dengue_cases,interest,inbound,outbound
2021-W05,0.0,27.071428571428573,23.7,32.7,141,9,4535,10838
2021-W06,1.0,27.514285714285712,24.7,32.2,143,11,4535,10838
2021-W07,0.0,27.0,24.1,31.9,148,13,4535,10838
2021-W08,0.0,27.5,24.0,33.7,146,9,4535,10838
2021-W09,36.4,28.24285714285714,23.0,34.2,140,12,5440,11302
2021-W10,15.8,27.857142857142858,23.7,33.3,145,11,5440,11302
2021-W11,22.0,28.12857142857143,24.0,33.5,129,10,5440,11302
2021-W12,54.0,27.47142857142857,24.1,33.5,120,8,5440,11302
2021-W13,109.6,28.214285714285715,23.3,34.7,113,9,5440,11302
2021-W14,67.0,28.47142857142857,24.5,33.3,102,8,6434,12708
2021-W15,114.8,27.728571428571428,23.1,32.7,112,9,6434,12708
2021-W16,42.8,28.285714285714285,23.5,33.1,129,11,6434,12708
2021-W17,10.600000000000001,28.557142857142857,25.1,33.4,84,13,6434,12708
2021-W18,30.2,28.428571428571427,24.3,33.5,117,10,2838,9717
2021-W19,95.19999999999999,28.814285714285713,24.7,33.6,92,11,2838,9717
2021-W20,84.2,28.085714285714285,22.9,32.6,119,8,2838,9717
2021-W21,36.0,29.342857142857145,24.7,33.5,130,13,2838,9717
2021-W22,2.1999999999999997,29.52857142857143,26.6,33.7,118,12,2838,9717
2021-W23,23.2,28.75714285714286,23.6,32.9,137,11,2507,12563
2021-W24,27.200000000000003,27.985714285714288,23.4,33.0,135,11,2507,12563
2021-W25,25.2,28.12857142857143,24.0,33.6,127,8,2507,12563
2021-W26,46.2,28.12857142857143,23.5,33.0,112,11,2507,12563
2021-W27,34.6,28.057142857142857,23.4,32.5,104,10,4629,13054
2021-W28,118.60000000000001,27.928571428571427,23.2,32.8,75,12,4629,13054
2021-W29,2.4000000000000004,29.385714285714283,25.9,33.2,80,15,4629,13054
2021-W30,30.0,29.271428571428572,23.1,33.4,82,5,4629,13054
2021-W31,11.0,28.271428571428572,23.2,32.9,70,11,3177,11522
2021-W32,28.4,28.37142857142857,23.6,32.6,81,11,3177,11522
2021-W33,125.2,26.857142857142858,21.9,32.3,56,8,3177,11522
2021-W34,50.0,27.142857142857142,23.7,31.8,53,8,3177,11522
2021-W35,127.6,27.442857142857143,22.9,32.3,46,9,3177,11522
2021-W36,46.4,28.357142857142858,22.5,32.9,61,12,4752,18804
2021-W37,3.8,28.47142857142857,25.4,32.8,74,11,4752,18804
2021-W38,32.4,28.957142857142856,23.5,33.3,110,14,4752,18804
2021-W39,113.8,27.314285714285713,23.4,33.0,105,11,4752,18804
2021-W40,35.4,29.2,23.2,33.8,104,11,6002,19162
2021-W41,7.2,29.428571428571427,25.6,33.2,85,10,6002,19162
2021-W42,46.4,27.52857142857143,23.5,33.3,76,10,6002,19162
2021-W43,28.0,28.25714285714286,24.7,33.1,75,8,6002,19162
2021-W44,108.4,26.985714285714288,24.1,32.7,59,10,8236,21958
2021-W45,45.4,27.400000000000002,23.6,33.4,42,9,8236,21958
2021-W46,68.4,27.74285714285714,23.4,33.2,56,6,8236,21958
2021-W47,90.2,27.585714285714285,22.8,33.0,63,8,8236,21958
2021-W48,14.599999999999998,28.214285714285715,22.9,33.9,48,9,8236,21958
2021-W49,14.6,27.599999999999998,25.1,32.0,65,7,23199,43224
2021-W50,72.2,27.728571428571428,23.9,33.3,61,6,23199,43224
2021-W51,10.600000000000001,27.785714285714285,24.9,32.4,68,4,23199,43224
2021-W52,82.8,26.914285714285715,23.2,32.5,79,3,23199,43224
2022-W01,11.8,27.428571428571427,23.5,32.3,106,12,11435,23631
2022-W02,0.0,27.557142857142857,24.2,31.9,146,10,11435,23631
2022-W03,9.0,27.514285714285712,24.1,32.6,180,12,11435,23631
2022-W04,3.8,27.87142857142857,24.7,33.1,171,13,11435,23631
2022-W05,21.6,28.057142857142857,24.2,33.6,154,13,11435,23631
2022-W06,76.0,26.342857142857145,23.3,32.2,169,16,16941,28034
2022-W07,34.8,27.62857142857143,22.6,32.9,206,14,16941,28034
2022-W08,42.6,27.17142857142857,23.2,32.6,201,14,16941,28034
2022-W09,24.0,27.614285714285717,23.4,33.7,263,18,16941,28034
2022-W10,6.4,28.114285714285717,24.7,33.8,369,22,30302,38788
2022-W11,40.6,28.0,23.8,33.5,421,23,30302,38788
2022-W12,54.0,28.5,23.0,34.2,441,23,30302,38788
2022-W13,49.800000000000004,28.17142857142857,24.0,34.0,510,28,30302,38788
2022-W14,21.4,27.342857142857145,23.5,33.3,643,29,73774,57892
2022-W15,105.19999999999999,28.400000000000002,23.6,33.1,734,45,73774,57892
2022-W16,52.4,28.37142857142857,23.1,33.5,942,55,73774,57892
2022-W17,49.0,28.442857142857143,24.9,33.3,1003,74,73774,57892
2022-W18,11.2,28.7,24.7,33.3,846,60,83692,69154
2022-W19,11.4,29.485714285714288,25.0,34.8,1315,70,83692,69154
2022-W20,29.799999999999997,28.942857142857143,23.5,33.5,1276,100,83692,69154
2022-W21,49.6,29.314285714285713,23.8,35.4,1567,78,83692,69154
2022-W22,73.4,28.814285714285713,23.6,34.5,1454,78,83692,69154
2022-W23,75.4,27.814285714285713,22.9,33.6,1460,91,135933,119020
2022-W24,7.800000000000001,27.900000000000002,23.9,31.9,1254,87,135933,119020
2022-W25,44.2,27.542857142857144,23.5,31.9,1172,88,135933,119020
2022-W26,14.8,28.62857142857143,23.9,32.4,1187,83,135933,119020
2022-W27,25.6,28.542857142857144,24.4,32.5,1164,82,181685,105543
2022-W28,28.400000000000002,29.071428571428573,23.6,32.9,918,72,181685,105543
2022-W29,42.2,28.442857142857143,22.2,32.9,1036,65,181685,105543
2022-W30,45.2,28.17142857142857,23.9,32.4,1092,64,181685,105543
2022-W31,17.2,27.842857142857145,24.2,32.2,896,62,145749,87838
2022-W32,32.4,29.25714285714286,24.0,33.2,879,50,145749,87838
2022-W33,29.4,28.385714285714283,24.0,32.6,679,52,145749,87838
2022-W34,54.6,27.357142857142858,23.7,31.9,662,46,145749,87838
2022-W35,10.799999999999999,27.828571428571426,24.7,32.5,581,51,145749,87838
2022-W36,9.4,27.885714285714283,24.8,32.4,570,40,195554,136038
2022-W37,27.400000000000002,27.67142857142857,23.5,31.9,544,44,195554,136038
2022-W38,51.0,27.771428571428572,22.7,32.0,472,35,195554,136038
2022-W39,58.400000000000006,28.17142857142857,22.4,32.9,426,34,195554,136038
2022-W40,42.0,26.928571428571427,23.8,32.5,397,29,163367,113473
2022-W41,43.4,27.842857142857145,23.5,33.4,376,40,163367,113473
2022-W42,61.4,27.814285714285713,23.1,33.0,373,35,163367,113473
2022-W43,85.8,27.614285714285717,23.1,34.6,314,34,163367,113473
2022-W44,63.6,27.271428571428572,22.4,32.8,318,27,163367,113473
2022-W45,132.8,26.557142857142857,23.1,31.9,294,25,204085,185454
2022-W46,42.8,27.571428571428573,23.5,33.3,315,24,204085,185454
2022-W47,38.4,28.085714285714285,23.2,33.9,265,26,204085,185454
2022-W48,96.8,27.057142857142857,22.8,32.9,242,19,204085,185454
2022-W49,65.6,26.8,23.9,32.7,327,27,232834,250220
2022-W50,81.8,26.414285714285715,23.9,32.2,290,30,232834,250220
2022-W51,10.200000000000001,26.685714285714287,23.4,31.7,270,20,232834,250220
2022-W52,16.0,27.099999999999998,23.1,31.3,285,25,232834,250220
